id,severity,symptom_en,symptom_zh,cause,solution,code_ref,workaround,keywords
C1,C,"Upgrade process not started / FileNotFoundException: upgrade application not found","升级进程没启动 / FileNotFoundException","UpgradeApp.exe not shipped with main application in first release","Ensure UpgradeApp.exe is included in the publish directory from the first release","Configinfo.UpdatePath, Configinfo.UpdateAppName","OSS mode: place Upgrade.exe in update/ subdirectory","upgrade not start, file not found, 升级没启动, FileNotFoundException, missing upgrade"
C2,C,"Method not found exception at runtime","运行时 Method not found 异常","Client and Upgrade projects use different GeneralUpdate NuGet versions","Lock Client.csproj and Upgrade.csproj to the exact same NuGet version","GeneralUpdate.Core, .csproj","Pin version in Directory.Build.props to enforce consistency","method not found, MissingMethodException, 方法找不到, NuGet conflict, version mismatch"
C3,C,"BSOD / OutOfMemory / Process crash on differential patch","蓝屏/内存溢出/进程崩溃差分补丁","BsdiffDiffer.WriteInt64 overflows on long.MinValue negation; control value > int.MaxValue truncates to negative","Update to v10.4.6+ (#514 fixed). If cannot update: add MaxInputFileSize limit in differential engine","BsdiffDiffer, PatchMiddleware","Limit patch file size at application level","BSOD, crash, OOM, differential, patch, 蓝屏, 崩溃, 内存溢出, BSDIFF"
C4,C,"PathTooLongException during backup (recursive nesting)","备份递归嵌套 PathTooLongException","StorageManager.Backup() creates backup dir INSIDE install path; empty SkipDirectorys list doesn't trigger default skip logic","Set SkipDirectorys on Configinfo to exclude backup directories","Configinfo.SkipDirectorys, StorageManager.Backup","Set SkipDirectorys to exclude '.backups','backup-'","path too long, backup recursion, PathTooLongException, 路径过长, 备份嵌套"
C5,C,"IPC encryption key hardcoded / weak","IPC 加密密钥硬编码/弱密钥","Default IPC encryption key is a hardcoded string; AppSecretKey is reused as encryption key","Use strong AppSecretKey (>= 32 chars, mixed case + numbers + symbols)","Configinfo.AppSecretKey, ProcessInfoJsonContext","Rotate key periodically, audit encryption in IPC path","IPC encryption, hardcoded key, 加密, 硬编码, security, AppSecretKey"
C6,C,"ZipSlip / path traversal in decompression","ZIP 解压路径穿越漏洞","CompressMiddleware.Extract doesn't validate ../ in zip entry paths against a whitelist before extraction","Validate zip entry paths against target directory; reject entries with ../","CompressMiddleware, ZipMiddleware","Scan entry names before extraction for path traversal patterns","zip slip, path traversal, security, 解压漏洞, 目录穿越"
C7,C,"Cross-tenant version leakage in multi-tenant deployment","多租户部署中跨租户版本泄露","Server API returns version info without tenant isolation; ProductId not validated against tenant context","Update server to validate ProductId against tenant context; add tenant-scoped API keys","GeneralSpacestation, ProductId","Add tenant header validation middleware on server side","multi-tenant, cross-tenant, security, 多租户, 跨租户, ProductId"
C8,C,"EventManager.Instance returned after Dispose","EventManager.Dispose 后 Instance 仍可访问","EventManager.Instance property returns the instance even after Dispose() is called","Call Clear() first, then Dispose(); do not call Instance after Dispose","EventManager.Instance, EventManager.Dispose","Wrap in try-finally; set to null after dispose","EventManager, dispose, singleton, memory leak, after dispose"
H1,H,"Chinese text garbled on Linux/macOS","Linux/macOS 中文乱码","IPC file encoding defaults to system default, not UTF-8","Set Encoding.UTF8 in PipelineContext and Configinfo","PipelineContext Encoding, Configinfo","Always explicitly set Encoding.UTF8","Chinese garbled, encoding, UTF8, 乱码, 编码, Linux, macOS"
H2,H,"Infinite update loop","无限升级循环","manifest.json version number doesn't match actual installed version or write-back fails","Ensure manifest.json version number is correct; implement write-back after update","generalupdate.manifest.json, ClientVersion","Add version write-back logic after successful update","infinite loop, 死循环, version mismatch, manifest"
H3,H,"MultiDownloadCompletedEventArgs.IsComplated typo causes binding failure","MultiDownloadCompletedEventArgs.IsComplated 拼写错误导致绑定失败","v10.4.6 API has typo IsComplated (not IsCompleted). UI bindings using correct spelling get null","Use IsComplated in code; or write a wrapper property that redirects to IsComplated","MultiDownloadCompletedEventArgs","Wrap in adapter class with IsCompleted alias","IsComplated, IsCompleted, typo, spelling, binding, 拼写错误"
H4,H,"OSS mode doesn't distinguish Main vs Upgrade update packages","OSS 模式不区分 Main/Upgrade 更新包","OSS strategy treats all packages the same; no MainOnly/UpgradeOnly differentiation","Accept this behavior for OSS; upgrade to standard server strategy if you need fine-grained control","OSSStrategy","Use standard server strategy if Main/Upgrade differentiation is needed","OSS, MainOnly, UpgradeOnly, 不区分, OSS 策略"
H5,H,"Upgrade.exe must be in update/ subdirectory for OSS","OSS 模式下 Upgrade.exe 必须在 update/ 子目录","OSS strategy scans update/ directory; placing Upgrade.exe elsewhere won't be found","Place Upgrade.exe in update/ subdirectory from the first release","OSSStrategy, UpdatePath","Verify directory structure before first OSS deployment","OSS, update directory, subdirectory, 子目录, OSS 部署"
H6,H,"EventManager concurrency race on add/remove/dispatch","EventManager 并发竞争问题","EventManager uses List<> not concurrent collection; add/remove during dispatch causes race","Use lock or ConcurrentBag for listener storage","EventManager.cs","Avoid modifying listeners while dispatch is in progress","concurrency, EventManager, thread safe, 并发, 线程安全"
H7,H,"Container (IoC) disposed entry can cause ObjectDisposedException","容器释放后访问导致 ObjectDisposedException","AutoFac container holds singleton references; after disposal access to Instance throws","Check container.IsDisposed before accessing Instance; add null check wrapper","GeneralUpdateBootstrap, DI container","Wrap container access in try-catch (ObjectDisposedException)","container, disposed, ObjectDisposedException, IoC, AutoFac"
H8,H,"Cross-version (CVP) jump skips API compatibility checks","跨版本跳转跳过 API 兼容性检查","CVP strategy allows jumping arbitrary number of versions; no intermediate API compatibility validation","Ensure server-side compatibility validation between source and target versions","CrossVersionStrategy, CVP","Test API compatibility for each version pair before deployment","CVP, cross version, API compatibility, 跨版本, API 兼容"
H9,H,"Linux: Pipeline hash algorithm platform-specific differences","Linux 上哈希算法平台差异","HashMiddleware may use platform-specific crypto implementations; hash mismatch between build and deploy","Use cross-platform hash algorithm (SHA256 consistently)","HashMiddleware, HashAlgorithm","Set HashAlgorithmName explicitly to SHA256","Linux, hash, SHA256, 哈希, 平台差异"
H10,H,"SignalR HubConnection dispose-then-reconnect crash","SignalR HubConnection 释放后重连崩溃","HubConnection.Dispose() sets internal state; reconnecting without new instance crashes","Set HubConnection to null after Dispose; create new instance for reconnect","SignalR, HubConnection, Dispose","Always null-check before reconnecting","SignalR, HubConnection, reconnect, 重连, 推送"
H11,H,"Bowl v10.4.6 has no public LaunchAsync method","Bowl v10.4.6 无公开 LaunchAsync 方法","v10.4.6 Bowl class only provides base type definitions; LaunchAsync is not publicly exposed","Use Bowl with v10.5.0+ dev branch; in v10.4.6 only basic type definitions are available","GeneralUpdate.Bowl.Bowl, MonitorParameter","Bowl parameters can be configured but execution requires dev branch","Bowl, LaunchAsync, 崩溃守护, 守护进程"
M1,M,"Differential package referenced unnecessarily","不必要地引用了 Differential 包","Developers add GeneralUpdate.Differential package not knowing types are already in Core","Don't add GeneralUpdate.Differential separately; the types are embedded in GeneralUpdate.Core","GeneralUpdate.Core, GeneralUpdate.Differential","Remove any existing GeneralUpdate.Differential reference from csproj","Differential, NuGet, 差分, 额外引用"
M2,M,"Wrong EventArgs type used in event listeners","事件监听到用了错误的 EventArgs 类型","Using ProgressEventArgs instead of MultiDownloadStatisticsEventArgs or vice versa","Use exact EventArgs type from GeneralUpdate.Common.Download namespace","MultiDownloadStatisticsEventArgs, ProgressEventArgs","Always check the namespace before importing event args types","event args, EventArgs, 事件参数, 错误类型"
M3,M,"Missing AddListenerException leads to silent failures","未订阅 ExceptionEventArgs 导致静默失败","Without AddListenerException, non-critical exceptions are silently swallowed","Always add AddListenerException handler; at minimum log the exception message","AddListenerException, ExceptionEventArgs","Add a default handler that logs to file even in production","silent failure, exception, 静默失败, 未订阅"
M4,M,"Version number not 4-segment (x.y.z.w)","版本号不是 4 段式","Server or client uses 3-segment version (1.0.0); comparison logic expects 4 segments","Always use 4-segment version format: x.y.z.w","ClientVersion, VersionInfo","Pad to 4 segments at server response level","version, 4 segment, 版本号, 三段式"
M5,M,"InstallPath set to relative path causes file resolution failure","InstallPath 使用相对路径导致文件解析失败","Relative InstallPath resolved differently in Client vs Upgrade context","Use absolute path: AppDomain.CurrentDomain.BaseDirectory for production","Configinfo.InstallPath","Use Path.GetFullPath() to resolve at runtime","InstallPath, relative path, 相对路径, 安装路径"
M6,M,"UpdateUrl returns success but empty body causes null reference","UpdateUrl 返回成功但空响应体导致空引用","Server API returns 200 OK with null/empty body; bootstrap doesn't handle null Info.Body","Add null check on e.Info?.Body before iterating VersionInfo list","UpdateInfoEventArgs, VersionInfo","Wrap version list access in null-conditional operator","null reference, empty response, 空响应, 空引用, body null"
M7,M,"Version comparison uses string instead of semantic version","版本比较使用字符串而非语义版本","Version strings compared lexicographically (1.9.0.0 > 1.10.0.0)","Use Version class (System.Version) or a semantic version parser for comparison","ClientVersion, Version.Parse","Cast to System.Version before comparison","version compare, semantic version, 版本比较, 语义版本"
M8,M,"BlackFiles/BlackFormats patterns not applied to upgrade directory","黑名单模式未应用到升级目录","BlackFiles patterns only apply to main app directory; upgrade path files not filtered","Apply same blacklist logic to upgrade directory; or use separate upgrade-specific blacklist","Configinfo.BlackFiles, Configinfo.BlackFormats","Duplicate blacklist entries for both main and upgrade paths","blacklist, BlackFiles, 黑名单, 升级目录"
M9,M,"Update process killed due to watchdog timeout on slow operations","慢操作导致升级进程被监控超时杀死","Upgrade process has a hard timeout; large file operations exceed the limit","Increase timeout for large updates; show progress to watchdog; split large operations","GeneralUpdateBootstrap, Watchdog","Show periodic progress to prevent watchdog timeout","timeout, watchdog, killed, 超时, 被杀"
M10,M,"Single-process mode not supported in v10.4.6","v10.4.6 不支持单进程模式","Developers expect to run update in same process; v10.4.6 requires dual-process architecture","Accept dual-process requirement; document that single-process is not supported","GeneralUpdateBootstrap, AppType","Not supported in v10.4.6; consider v10.5.0+ for single-process","single process, 单进程, dual process, 双进程"
M11,M,"SignalR push update delivery not acknowledged","SignalR 推送更新无送达确认","Push notification sent but no acknowledgment; client may miss the update while offline","Implement client-side acknowledgment; use retry queue on server for unacknowledged pushes","SignalRStrategy, HubConnection","Add ACK from client; server retries unacknowledged pushes","SignalR, acknowledgment, 推送确认, 送达"
M12,M,"Pre-release version included in production update list","预发布版本被包含在生产更新列表中","Server returns pre-release/beta versions in the production version list; client updates to wrong version","Filter versions by release channel; separate pre-release and production version lists","GeneralSpacestation, VersionInfo","Add release channel field to version metadata","pre-release, beta, 预发布, 测试版本"
M13,M,"OssClient.AppType value 3-4 not supported in v10.4.6","v10.4.6 不支持 OssClient.AppType（值 3-4）","v10.4.6 only supports AppType values 1 (Client) and 2 (Upgrade); 3-4 are dev-branch only","Use AppType.ClientApp (1) or AppType.UpgradeApp (2) only","AppType, ClientApp, UpgradeApp","Avoid values 3-4 in v10.4.6","OssClient, AppType, 3-4, not supported, 不支持"
M14,M,"ProgressEventArgs used in v10.4.6 API where MultiDownload* expected","ProgressEventArgs 与 MultiDownload* 混淆","v10.4.6 uses MultiDownload* events for batch downloads; ProgressEventArgs is for single download only","Use MultiDownloadStatisticsEventArgs for batch download; ProgressEventArgs for single file","MultiDownloadStatisticsEventArgs, ProgressEventArgs","Check event type before using in v10.4.6","progress, event, 进度事件, 混淆"
M15,M,"Custom pipeline middleware order wrong causes silent failure","自定义中间件顺序错误导致静默失败","Middleware registered in wrong order (Patch before Compress); no error but update silently broken","Follow correct order: Hash -> Compress -> Patch -> Drivelution","PipelineBuilder, UseMiddleware","Document and verify middleware order","pipeline, middleware order, 管道, 中间件顺序"
M16,M,"ConfigurationProviderFactory.Providers dictionary not thread-safe","ConfigurationProviderFactory.Providers 字典非线程安全","Dictionary used without synchronization; concurrent access in multi-threaded context may corrupt","Use ConcurrentDictionary or external lock for Providers access","ConfigurationProviderFactory","Replace Dictionary with ConcurrentDictionary","thread safety, ConfigurationProviderFactory, 线程安全"
M17,M,"Socket/HttpClient not disposed after download completes","下载完成后 Socket/HttpClient 未释放","HttpClient instances created per request without reuse or disposal","Use singleton HttpClient; or wrap in using block","MultiDownloadExecutor, HttpClient","Configure HttpClient as singleton in DI container","HttpClient, socket leak, 连接泄漏, 未释放"
M18,M,"LaunchAsync() returns Task<GeneralUpdateBootstrap> not Task<bool>","LaunchAsync() 返回 Task<GeneralUpdateBootstrap> 而非 Task<bool>","Developers expect bool return type for success/failure check; actual return is Bootstrap instance","The returned Bootstrap instance can be inspected; do not expect bool","GeneralUpdateBootstrap.LaunchAsync","Ignore return value; use event listeners for status","LaunchAsync, return type, Task, 返回值"
M19,M,"Silent mode notifications don't respect Do Not Disturb settings","静默模式通知不遵守免打扰设置","Silent update notifications pop up even when system is in DND or presentation mode","Check system DND status before showing notifications; queue notifications for later","SilentStrategy, Notification","Use OS-level DND API before showing notification","silent, notification, DND, 通知, 免打扰"
M20,M,"Service mode (Windows Service) IPC path resolution difference","Windows 服务模式下 IPC 路径解析差异","Windows Services run with different working directory than user apps; IPC file path resolved incorrectly","Use absolute paths for IPC files; ensure service account has write access to IPC directory","IPC, ProcessInfoJsonContext","Always use full absolute path for IPC file","Windows Service, IPC, path, 服务, 路径"
L1,L,"Thread.Sleep in event listener blocks update pipeline","事件监听中使用 Thread.Sleep 阻塞更新管道","Synchronous waits in event handlers block the pipeline execution","Use async event handlers; avoid Thread.Sleep/Task.Wait in any event listener","AddListenerException, AddListenerMultiDownloadStatistics","Replace Sleep with Task.Delay and async pattern","block, sleep, 阻塞, 事件监听"
L2,L,"Hardcoded temporary path in unzip operations","解压操作中硬编码临时路径","CompressMiddleware uses hardcoded temp path; conflicts with system temp policy","Use Path.GetTempPath() or configurable temp directory","CompressMiddleware, ZipMiddleware","Override via environment variable if needed","temp path, hardcoded, 临时路径, 硬编码"
L3,L,"Differential clean/dirty parameter validation missing","差分 clean/dirty 参数缺失验证","DifferentialCore.CleanAsync/Core.DirtyAsync doesn't validate input paths","Validate source/target/patch directories exist before calling","DifferentialCore.CleanAsync, DifferentialCore.DirtyAsync","Add manual directory existence checks","differential, parameter validation, 差分, 参数校验"
L4,L,"ServiceCollection registration not validated before Build","Build 前 ServiceCollection 注册未验证","Multiple registrations of same type; last wins silently","Use TryAdd instead of Add for service registration to detect duplicates","GeneralUpdateBootstrap, ServiceCollection","Replace Add with TryAdd patterns","DI, registration, duplicate, ServiceCollection"
